ts,mode,size_bytes,count,sleep,loss_pct,n_pub_seen,n_deliveries,n_shards,lat_n,lat_mean_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms,lat_max_ms,proc_net_tx_total,proc_net_rx_total,bw_out_pubsub_total,bw_in_pubsub_total,shards_total_delta,shards_unnecessary_delta,delivered_msgs_delta,delivered_bytes_delta,raw_dir
1779976413,optimum,1024,50,100ms,0.0,50,400,2006,400,1.725,1.69,3.38,4.454,5.384,2743130,967416,636070,553124,860,259,150,153600,raw/optimum_s1024_l0_1779976394
1779976433,optimum,1024,50,100ms,5.0,50,400,1958,400,6.612,1.398,33.124,103.426,204.164,2761944,976739,627991,569227,826,226,150,153600,raw/optimum_s1024_l5_1779976413
1779976453,optimum,1024,50,100ms,10.0,50,400,1777,400,35.428,2.445,163.637,215.817,305.88,2938851,1164667,572216,636972,1021,219,200,204800,raw/optimum_s1024_l10_1779976433
1779976473,optimum,1024,50,100ms,20.0,50,400,1910,400,181.034,145.183,510.861,647.809,1166.672,3041867,1146162,584763,646614,1055,255,200,204800,raw/optimum_s1024_l20_1779976453
1779976495,optimum,102400,40,200ms,0.0,40,320,1509,320,3.363,3.104,6.681,9.751,11.143,85906577,16836746,19011597,16288833,625,145,120,12288000,raw/optimum_s102400_l0_1779976473
1779976518,optimum,102400,40,200ms,5.0,40,320,1532,320,12.719,4.159,58.423,170.706,214.198,84859151,18005316,16775909,17187827,661,181,120,12288000,raw/optimum_s102400_l5_1779976495
1779976541,optimum,102400,40,200ms,10.0,40,320,1504,320,162.216,143.686,454.553,594.545,700.432,90241002,18441626,20321233,17211606,661,181,120,12288000,raw/optimum_s102400_l10_1779976518
1779976563,optimum,102400,40,200ms,20.0,40,136,662,136,4240.611,4266.169,10657.135,11225.305,11484.87,22886108,7292690,4888581,6381194,243,55,39,3993600,raw/optimum_s102400_l20_1779976541
1779976585,optimum,1048576,20,400ms,0.0,20,160,737,160,17.361,13.399,34.114,111.19,225.916,455579876,91319663,118117624,90322512,344,104,60,62914560,raw/optimum_s1048576_l0_1779976563
1779976608,optimum,1048576,20,400ms,5.0,20,160,713,160,146.218,109.829,377.312,515.724,534.718,429506280,82754646,86385983,80879281,308,68,60,62914560,raw/optimum_s1048576_l5_1779976585
1779976631,optimum,1048576,20,400ms,10.0,20,160,886,160,2239.441,2339.636,4231.87,5316.223,5748.126,466081176,99813778,124678154,96583425,366,128,58,60817408,raw/optimum_s1048576_l10_1779976608
1779976653,optimum,1048576,20,400ms,20.0,20,20,39,20,2.137,1.98,2.749,2.931,2.977,92143400,4616696,16268657,3268927,6,0,0,0,raw/optimum_s1048576_l20_1779976631
1779976674,optimum,2516582,10,600ms,0.0,10,80,351,80,61.564,28.699,295.068,534.067,688.805,508372225,129270053,103881714,128425384,204,44,40,100663280,raw/optimum_s2516582_l0_1779976653
1779976694,optimum,2516582,10,600ms,5.0,10,80,374,80,278.844,267.915,564.965,627.4,652.504,521783197,137021463,109550930,134721635,214,54,40,100663280,raw/optimum_s2516582_l5_1779976674
1779976715,optimum,2516582,10,600ms,10.0,10,61,347,61,4770.94,5471.445,7715.907,8148.961,8493.82,351529302,80878768,107635133,78144103,116,28,14,35232148,raw/optimum_s2516582_l10_1779976694
1779976735,optimum,2516582,10,600ms,20.0,10,10,1,10,4.967,4.599,6.383,6.449,6.466,103229157,2900973,20963012,2463790,1,1,0,0,raw/optimum_s2516582_l20_1779976715
1779977807,gossipsub,1024,50,100ms,0.0,50,50,0,50,0.112,0.091,0.235,0.313,0.321,64240,6530,0,0,0,0,0,0,raw/gossipsub_s1024_l0_1779977774
1779977841,gossipsub,1024,50,100ms,5.0,50,150,0,150,0.442,0.436,1.011,1.536,2.066,1394793,417831,0,0,0,0,0,0,raw/gossipsub_s1024_l5_1779977807
1779977875,gossipsub,1024,50,100ms,10.0,50,150,0,150,5.944,0.535,15.444,113.208,224.006,1353557,371493,0,0,0,0,0,0,raw/gossipsub_s1024_l10_1779977841
1779977909,gossipsub,1024,50,100ms,20.0,50,50,0,50,0.109,0.083,0.18,0.734,0.893,450187,56774,0,0,0,0,0,0,raw/gossipsub_s1024_l20_1779977875
1779977945,gossipsub,102400,40,200ms,0.0,40,40,0,40,0.312,0.238,0.752,0.81,0.815,16643575,83687,0,0,0,0,0,0,raw/gossipsub_s102400_l0_1779977909
1779977982,gossipsub,102400,40,200ms,5.0,40,40,0,40,0.459,0.294,1.308,2.455,2.683,85140,10068,0,0,0,0,0,0,raw/gossipsub_s102400_l5_1779977945
1779978019,gossipsub,102400,40,200ms,10.0,40,40,0,40,0.231,0.195,0.39,0.566,0.577,16671051,78606,0,0,0,0,0,0,raw/gossipsub_s102400_l10_1779977982
1779978055,gossipsub,102400,40,200ms,20.0,40,47,0,47,797.019,0.257,6305.61,9634.867,11256.142,20213978,956125,0,0,0,0,0,0,raw/gossipsub_s102400_l20_1779978019
1779978092,gossipsub,1048576,20,400ms,0.0,20,20,0,20,2.238,1.677,5.304,5.375,5.393,84341390,150590,0,0,0,0,0,0,raw/gossipsub_s1048576_l0_1779978055
1779978128,gossipsub,1048576,20,400ms,5.0,20,60,0,60,148.522,13.09,657.444,1083.535,1411.807,322331915,65270777,0,0,0,0,0,0,raw/gossipsub_s1048576_l5_1779978092
1779978165,gossipsub,1048576,20,400ms,10.0,20,20,0,20,2.164,2.101,2.965,3.056,3.079,90381,10004,0,0,0,0,0,0,raw/gossipsub_s1048576_l10_1779978128
1779978201,gossipsub,1048576,20,400ms,20.0,20,21,0,21,562.171,1.517,2.876,9419.135,11773.2,90113870,1462794,0,0,0,0,0,0,raw/gossipsub_s1048576_l20_1779978165
1779978235,gossipsub,2516582,10,600ms,0.0,10,20,0,20,9.925,7.098,21.837,31.209,33.552,227277035,25591491,0,0,0,0,0,0,raw/gossipsub_s2516582_l0_1779978201
1779978269,gossipsub,2516582,10,600ms,5.0,10,10,0,10,5.286,4.783,7.24,7.844,7.995,94023,11298,0,0,0,0,0,0,raw/gossipsub_s2516582_l5_1779978235
1779978304,gossipsub,2516582,10,600ms,10.0,10,16,0,16,2298.887,6.988,10017.942,11184.967,11476.723,174002116,20100066,0,0,0,0,0,0,raw/gossipsub_s2516582_l10_1779978269
1779978338,gossipsub,2516582,10,600ms,20.0,10,10,0,10,5.73,4.624,10.5,13.46,14.2,107291,10894,0,0,0,0,0,0,raw/gossipsub_s2516582_l20_1779978304
